Date,BPI
8/7/2018,6717.2088
8/8/2018,6280.58
8/9/2018,6537.9025
8/10/2018,6143.305
8/11/2018,6233.3813
8/12/2018,6312.8338
8/13/2018,6252.37
8/14/2018,6192.3063
8/15/2018,6270.0425
8/16/2018,6314.2413
8/17/2018,6583.2388
8/18/2018,6395.3525
8/19/2018,6485.7463
8/20/2018,6256.6063
8/21/2018,6477.3763
8/22/2018,6357.5875
8/23/2018,6525.6088
8/24/2018,6692.6213
8/25/2018,6732.5025
8/26/2018,6707.6325
8/27/2018,6907.6613
8/28/2018,7076.745
8/29/2018,7035.8125
8/30/2018,6982.4
8/31/2018,7013.9738
9/1/2018,7192.2988
9/2/2018,7295.13
9/3/2018,7261.4863
9/4/2018,7358.4963
9/5/2018,6687.0125
9/6/2018,6498.6188
9/7/2018,6396.2688
9/8/2018,6183.38
9/9/2018,6238.54
9/10/2018,6305.5738
9/11/2018,6282.9213
9/12/2018,6328.93
9/13/2018,6486.6213
9/14/2018,6492.375
9/15/2018,6515.8988
9/16/2018,6497.3663
9/17/2018,6251.16
9/18/2018,6334.1963
9/19/2018,6388.9788
9/20/2018,6491.64
9/21/2018,6753.18
9/22/2018,6712.1675
9/23/2018,6701.2975
9/24/2018,6581.51
9/25/2018,6434.6488
9/26/2018,6458.6525
9/27/2018,6684.1313
9/28/2018,6621.665
9/29/2018,6583.7713
9/30/2018,6606.085
10/1/2018,6578.7938
10/2/2018,6506.6575
10/3/2018,6470.7138
10/4/2018,6555.875
10/5/2018,6589.4038
10/6/2018,6563.425
10/7/2018,6582.4013
10/8/2018,6622.4013
10/9/2018,6606.8825
10/10/2018,6550.7313
10/11/2018,6177.2338
10/12/2018,6211.6688
10/13/2018,6227.51
10/14/2018,6222.215
10/15/2018,6513.3838
10/16/2018,6531.3625
10/17/2018,6514.6413
10/18/2018,6450.785
10/19/2018,6418.8525
10/20/2018,6455.485
10/21/2018,6453.82
10/22/2018,6448.0988
10/23/2018,6434.2538
10/24/2018,6450.31
10/25/2018,6427.3975
10/26/2018,6436.9713
10/27/2018,6431.0888
10/28/2018,6426.55
10/29/2018,6285.2338
10/30/2018,6283.5263
10/31/2018,6320.4588
11/1/2018,6358.4
11/2/2018,6368.855
11/3/2018,6346.8063
11/4/2018,6439.4788
11/5/2018,6420.865
11/6/2018,6465.9875
11/7/2018,6520.1088
11/8/2018,6425.2638
11/9/2018,6353.8763
11/10/2018,6368.675
11/11/2018,6380.815
11/12/2018,6356.0238
11/13/2018,6307.245
11/14/2018,5681.9813
11/15/2018,5620.8775
11/16/2018,5548.2338
11/17/2018,5536.0713
11/18/2018,5582.7
11/19/2018,4785.1538
11/20/2018,4413.8025
11/21/2018,4574.3588
11/22/2018,4289.6888
11/23/2018,4319.9938
11/24/2018,3815.9213
11/25/2018,3976.5713
11/26/2018,3761.4213
11/27/2018,3800.1963
11/28/2018,4241.575
11/29/2018,4263.875
11/30/2018,3992.155
12/1/2018,4165.6063
12/2/2018,4116.6138
12/3/2018,3855.6833
12/4/2018,3929.6283
12/5/2018,3722.3917
12/6/2018,3466.15
12/7/2018,3404.4567
12/8/2018,3433.3633
12/9/2018,3566.3417
12/10/2018,3447.345
12/11/2018,3378.115
12/12/2018,3465.3367
12/13/2018,3292.0883
12/14/2018,3223.7633
12/15/2018,3214.385
12/16/2018,3229.1683
12/17/2018,3540.1967
12/18/2018,3703.805
12/19/2018,3724.9933
12/20/2018,4107.6867
12/21/2018,3886.305
12/22/2018,4031.895
12/23/2018,3987.8817
12/24/2018,4069.8067
12/25/2018,3823.0583
12/26/2018,3809.19
12/27/2018,3632.68
12/28/2018,3937.05
12/29/2018,3779.7133
12/30/2018,3880.9067
12/31/2018,3740.5
1/1/2019,3869.47
1/2/2019,3941.2167
1/3/2019,3832.155
1/4/2019,3863.6267
1/5/2019,3835.5983
1/6/2019,4083.165
1/7/2019,4041.4583
1/8/2019,4029.9917
1/9/2019,4028.2917
1/10/2019,3669.5825
1/11/2019,3660.9583
1/12/2019,3658.6725
1/13/2019,3540.1583
1/14/2019,3706.1725
1/15/2019,3604.1333
1/16/2019,3630.2567
1/17/2019,3665.41
1/18/2019,3630.785
1/19/2019,3708.9633
1/20/2019,3552.8933
1/21/2019,3548.69
1/22/2019,3598.2183
1/23/2019,3576.01
1/24/2019,3598.2717
1/25/2019,3582.2
1/26/2019,3580.775
1/27/2019,3553.0133
1/28/2019,3454.48
1/29/2019,3421.12
1/30/2019,3482.3
1/31/2019,3441.985
2/1/2019,3468.2517
2/2/2019,3466.2175
2/3/2019,3443.1667
2/4/2019,3451.115
2/5/2019,3472.035
2/6/2019,3393.6717
2/7/2019,3385.97
2/8/2019,3657.4017
2/9/2019,3654.3
2/10/2019,3681.0517
2/11/2019,3621.0283
2/12/2019,3622.7133
2/13/2019,3605.3133
2/14/2019,3592.91
2/15/2019,3601.0583
2/16/2019,3611.975
